NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS
211,HVDC-ADOPT-HE-0179-B,E01,PRL-ZAK-002-O LOT 11-B,2024-07-04,4572116646,Hitachi,Elec,Main Converter,"Shields, Insulator, Pipes, Dampers",,,,O,DAP,SEK,,,,,SWEDEN,Gothenburg,Khalifa port,,Evelyn Maersk,Scan Global Logistics AB,C,5,,,3,,,,,,,,,,,,,,3,,,,5484,,,,2024-06-27,2024-06-27,2024-08-16,2024-08-16,2024-07-24,2024-08-16,2024-08-16,2024-08-16,47150,0,0,,,,,2024-08-31,2024-09-03,,,,,,,,,
212,HVDC-ADOPT-SCT-0009,E08,HVDC-ADOPT-SCT-0009,2024-07-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (3rd),,O,,,FOB,USD,225751.4,19800,2709.02,248260.42,KOREA,Busan Port,Khalifa port,290-700-2406-154,HMM GAON,,C,68,1,,13,,,,,,,,,,,,,,14,,,,168787,665.53,665.53,,2024-07-03,2024-07-05,2024-08-12,2024-08-12,2024-07-08,2024-08-13,2024-08-13,2024-08-13,47150,45587,47866,,,2024-12-18,,,,,,,,2024-09-16,,,,
213,HVDC-ADOPT-SIM-0005-1,E04-1,477QGP51782859,2024-06-04,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"DAS Cluster 132kV"" GIS & Accessories PS002",,O,,,CIF,USD,,,,4757802.38,GERMANY,Hamburg,Khalifa port,SDXB00003771,MAERSK HOUSTON,Alpha Maritime,C,87,,,11,,,,,,,,,,,,,,11,,,,72654.05,396.5,396.5,,2024-07-03,2024-07-03,2024-08-08,2024-08-08,2024-08-08,2024-08-08,2024-08-08,2024-08-08,47150,873652,917334,,,2024-11-16,,,2024-08-14,,,,,2024-11-13,,,,
214,HVDC-ADOPT-SCT-0010,M01,HVDC-ADOPT-SCT-0010,2024-07-08,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (5th),O,O,,O,FOB,USD,141370,7520,2120.55,151010.55,MALAYSIA,Port Klang,Khalifa port,KUL00001355,MSC GENERAL IV,Alpha Maritime,C,26,,,4,,,,,,,,,,,,,,4,,,,20980,74.71,74.71,,2024-07-12,2024-07-12,2024-08-08,2024-08-08,2024-07-16,2024-08-09,2024-08-09,2024-08-09,47150,27730,29116,2025-01-16,,2025-01-12,2025-01-15,,,,,,,2025-01-14,,,,
215,HVDC-ADOPT-SIM-0006,E04-1,477QGP51782719,2024-05-31,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"DAS Cluster 132kV"" GIS Cleaning Material & SF6 Gas PS01 (DG)",,O,,,CIF,USD,,,,222403.38,GERMANY,Hamburg,Khalifa port,DXB00003846,Evelyn Maersk,Alpha Maritime,C,6,,,1,,,,,,,,,,,,,,1,,,,6305.1,14.4,14.4,,2024-07-12,2024-07-12,2024-08-16,2024-08-16,2024-07-18,2024-08-19,2024-08-26,2024-08-26,47150,40846,42881,,,2025-03-21,,,,,,,,2025-01-28,2024-08-29,,,
216,HVDC-ADOPT-SIM-0005-2A,E04-1,477QGP51782857,2024-06-04,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"DAS Cluster 132kV"" GIS & Accessories PS002",,O,,,CIF,USD,,,,2301953.93,GERMANY,Hamburg,Khalifa port,DXB00003913,Evelyn Maersk,Alpha Maritime,C,8,,,,,,,,,,,,,,,,,0,,,,32040,224.32,224.32,,2024-07-12,2024-07-12,2024-08-16,2024-08-16,2024-07-24,2024-08-19,2024-08-19,2024-08-19,47150,1240545,1302571,,,2024-12-25,,,2024-08-25,,,,,2024-12-26,,,,
217,HVDC-ADOPT-SIM-0005-2B,E04-1,477QGP51782858,2024-06-04,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"DAS Cluster 132kV"" GIS & Accessories PS002",,O,,,CIF,USD,,,,4453900.51,GERMANY,Hamburg,Khalifa port,DXB00003913,Evelyn Maersk,Alpha Maritime,C,25,1,,1,,,,7,,,3,,,,,,,12,,,,62186,367.54,367.54,,2024-07-12,2024-07-12,2024-08-16,2024-08-16,2024-07-24,2024-08-19,2024-08-19,2024-08-19,47150,,,,,2024-12-25,,,2024-08-25,,,,,2024-12-26,,,,
218,HVDC-ADOPT-HE-0178,E01,PRL-DAS-012-O,2024-07-13,4572116646,Hitachi,Elec,Main Converter,Transformer Units & Accessories,,O,,,DAP,SEK,269022357.1,10675784.78,26902235.66,306600377.5,SWEDEN,Norrkoping,Mina Zayed,GOT37000018,ANNETTE A DESGAGNES,Scan Global Logistics AB,B,118,,,,,,,,,,,,,,,,,0,,,,1026302,1998.17,1998.17,,2024-07-17,2024-07-17,2024-09-02,2024-09-02,2024-07-24,2024-08-29,2024-08-30,2024-08-30,47150,5495107,5769862,,,2025-06-17,,2024-09-21,2024-09-21,,,,,2025-07-11,,,,
219,HVDC-ADOPT-HE-0176,E01,PRL-ZAK-002-O LOT 9,2024-06-27,4572116646,Hitachi,Elec,Main Converter,Layers,,,,O,DAP,SEK,81100932.12,257008.04,8110093.21,89468033.37,SWEDEN,Gothenburg,Khalifa port,GOT36800137,Evelyn Maersk / MV. America,Scan Global Logistics AB,C,39,,,13,,,,,,,,,,,,,,13,,,,195000,570.48,570.48,,2024-06-27,2024-06-27,2024-08-16,2024-08-16,2024-07-24,2024-08-14,2024-08-15,2024-08-15,47150,1575685,1654468,,,,,2024-08-31,,,,,,,,,,
220,HVDC-ADOPT-HE-0177,E01,PRL-ZAK-002-O LOT 10,2024-06-27,4572116646,Hitachi,Elec,Main Converter,"Pipe, Stud, Shields, Assembly Material",,,,O,DAP,SEK,28177600,163823.24,2817760,31159183.24,SWEDEN,Gothenburg,Khalifa port,GOT36800138,Evelyn Maersk,Scan Global Logistics AB,C,88,,,16,,,,,,,,,,,,,,16,,,,57864,522.12,522.12,,2024-06-27,2024-06-27,2024-08-16,2024-08-16,2024-07-24,2024-08-14,2024-08-15,2024-08-15,47150,548767,576205,,2025-10-17,2025-11-16,2025-08-23,,2024-08-29,,,,,2025-07-29,,,,
221,HVDC-ADOPT-HE-0175,E01,PRL-ZAK-002-O LOT 8,2024-06-27,4572116646,Hitachi,Elec,Main Converter,Top Part Installation,,,,O,DAP,SEK,15369600,143994,1536960,17050554,SWEDEN,Gothenburg,Khalifa port,GOT36800136,Evelyn Maersk / MV. America,Scan Global Logistics AB,C,48,,,8,,,,,,,,,,,,,,8,,,,49920,625.66,625.66,,2024-06-27,2024-06-27,2024-08-16,2024-08-16,2024-07-24,2024-08-14,2024-08-15,2024-08-15,47150,300290,315304,,,2025-11-16,,,2024-08-27,,,,,,,,,
222,HVDC-ADOPT-HE-0129,E01,PRL-CS-016-O1,2024-07-11,4572116646,Hitachi,Elec,Main Converter,Wallbushing & Corona Shields,,O,,O,DAP,SEK,44700567.3,73557.91,4470056.73,49244181.94,SWEDEN,Gothenburg,Khalifa port,GOT36800129-001,Maers Herrera,Scan Global Logistics AB,C,94,,,11,,,,,,,,,,,,,,11,,,,61933,338.94,338.94,,2024-07-11,2024-07-11,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-12,2024-09-12,47150,1026091,1077394,,,2025-04-28,2025-12-08,,2024-09-17,,,,,2025-11-26,,,,
223,HVDC-ADOPT-HE-0181,E01,PRL-CS-016-O3,2024-07-11,4572116646,Hitachi,Elec,Main Converter,Wallbushing & Corona Shields,,O,,,DAP,SEK,6657531.3,10955.43,665753.13,7334239.86,SWEDEN,Gothenburg,Khalifa port,GOT36800129-001,Maers Herrera,Scan Global Logistics AB,C,14,,,,,,,,,,,,,,,,,0,,,,8610,53.27,53.27,,2024-07-11,2024-07-11,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-12,2024-09-12,47150,,,,,2025-04-28,,,2024-09-16,,,,,,,,,
224,HVDC-ADOPT-HE-0180,E01,PRL-CS-016-O2,2024-07-11,4572116646,Hitachi,Elec,Main Converter,Spare Wallbushing & Corona Shields,,O,,O,DAP,SEK,1426613.85,2347.59,142661.39,1571622.83,SWEDEN,Gothenburg,Khalifa port,GOT36800129-002,Maers Herrera,Scan Global Logistics AB,C,3,,,,,,,,,,,,,,,,,0,,,,1947,10.33,10.33,,2024-07-24,2024-07-11,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-12,2024-09-12,47150,,,,,2025-04-30,,,2024-09-16,,,,,,,,,
225,HVDC-ADOPT-SIM-0009-1A,E04-1,477QGP51784018,2024-06-19,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"SHU 400 kV"" GIS & Accessories SHDC001 PS04",O,,,,CIF,USD,,,,2421202.21,GERMANY,Hamburg,Khalifa port,DXB00003920,Ane Maersk,Alpha Maritime,C,38,,,,,,,,,,13,,,,,,,13,,,,62247,588.95,588.95,,2024-07-18,2024-07-18,2024-08-26,2024-08-26,2024-08-07,2024-08-26,2024-08-27,2024-08-27,47150,913033,958684,2024-09-05,,,,,,,,,,,,,,
226,HVDC-ADOPT-SIM-0009-1B,E04-1,477QGP51784103,2024-06-19,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"SHU 400 kV"" GIS & Accessories SHDC001 PS04",O,,,,CIF,USD,,,,2551061.73,GERMANY,Hamburg,Khalifa port,DXB00003920,Ane Maersk,Alpha Maritime,C,64,,,8,,,,,,,,,,,,,,8,,,,67821,506.55,506.55,,2024-07-18,2024-07-18,2024-08-26,2024-08-26,2024-08-07,2024-08-26,2024-08-27,2024-08-27,47150,,,2024-09-05,,,,,,,,,,,,,,
227,HVDC-ADOPT-SCT-0013,E08,HVDC-ADOPT-SCT-0013,2024-07-19,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (4th),O,,O,,FOB,USD,323098.2,25600,3877.18,352575.38,KOREA,Busan Port,Khalifa port,290-700-2407-079,HMM RAON,Deugro,C,78,,,16,,,,,,,,,,,,,,16,,,,219962,867.79,867.79,,2024-07-19,2024-07-19,2024-08-28,2024-08-28,2024-07-26,2024-08-26,2024-08-27,2024-08-27,47150,64742,67979,2024-09-14,2024-09-06,,,,,,,,,,,,,
228,HVDC-ADOPT-HE-0182,E01,"PRL-ZAK-009-O1, O2",2024-08-01,4572116646,Hitachi,Elec,Main Converter,Transformer Unit and Accessories,,,,O,DAP,SEK,96558696.7,2014146.65,9655869.67,108228713,Brazil,Itagui,Mina Zayed,GOT37000022,BBC SWITZERLAND,Scan Global Logistics AB,B,46,,,,,,,,,,,,,,,,,0,,,,488336,692.31,692.31,,2024-08-01,2024-08-01,2024-09-01,2024-09-01,2024-08-09,2024-08-27,2024-08-28,2024-08-28,47150,1948821,2046261,,,,2025-04-30,2024-09-01,2024-09-20,,,,,2025-11-21,,,,
229,HVDC-ADOPT-SCT-0014,E08,HVDC-ADOPT-SCT-0014,2024-08-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (5th),O,,O,O,FOB,USD,371474.79,33000,4457.7,408932.49,KOREA,Busan Port,Khalifa port,290-700-2407-153,AL NASRIYAH,Deugro,C,82,,,15,,,,,,,,,,,,,,15,,,,187023,630.17,630.17,,2024-08-05,2024-08-05,2024-09-10,2024-09-10,2025-04-16,2024-09-10,2024-09-10,2024-09-10,47150,75091,78845,2024-09-27,2024-11-04,,2025-06-11,,,,,,,2025-01-09,,,,
230,HVDC-ADOPT-SIM-0009-2A,E04-1,477QGP51784174,2024-06-20,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"SHU 400 kV"" GIS & Accessories SHDC001 PS04",O,,,,CIF,USD,,,,1997441.4,GERMANY,Hamburg,Khalifa port,DXB00003921,Maersk Herrera,Alpha Maritime,C,34,,,,,,,,,,13,,,,,,,13,,,,55434,543.26,543.26,,2024-08-16,2024-08-16,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-11,2024-09-11,47150,821689,862772,2024-10-04,,,,,,,,,,,,,,
231,HVDC-ADOPT-SIM-0009-2B,E04-1,477QGP51784175,2024-06-20,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"SHU 400 kV"" GIS & Accessories SHDC001 PS04",O,,,,CIF,USD,,,,2477371.34,GERMANY,Hamburg,Khalifa port,DXB00003921,Maersk Herrera,Alpha Maritime,C,53,,,6,,,,,,,,,,,,,,6,,,,53562,385.1,385.1,,2024-08-16,2024-08-16,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-11,2024-09-11,47150,,,2024-10-04,,,,,,,,,,,,,,
232,HVDC-ADOPT-SIM-0010,E04-1,477QGP51784173,2024-06-20,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"SHU 400 kV"" GIS & Accessories DG Cargo PS03",O,,,,CIF,USD,,,,721670.53,GERMANY,Hamburg,Khalifa port,DXB00003922,Maersk Herrera,Alpha Maritime,C,30,,,2,,,,,,,,,,,,,,2,,,,15840.7,42.55,42.55,,2024-08-16,2024-08-16,2024-09-10,2024-09-10,2024-09-20,2024-09-11,2024-09-11,2024-09-11,47150,132527,139144,2025-01-31,,,,,,,,,,,2024-09-18,,,
233,HVDC-ADOPT-SIM-0016,E04-1,477QGP51784653,2024-06-25,SCT-19LT-PRC-PO-005,Siemens,Elec,400kV and 132kV New Converter GIS,MRPS - 400 kv GIS - Mirfa Modification - PS05,,,O,,CIF,USD,,,,2096615.18,GERMANY,Hamburg,Khalifa port,DXB00004009,Maersk Herrera,Alpha Maritime,C,11,,,1,,,,,,,,,,,,,,1,,,,6140,25.77,25.77,,2024-08-16,2024-08-16,2024-09-10,2024-09-10,2024-09-19,2024-09-11,2024-09-11,2024-09-11,47150,384991,404241,,2024-09-16,,,,,,,,,,,,,
234,HVDC-ADOPT-HE-0183,E01,PRL-CS-017-O1,2024-07-19,4572116646,Hitachi,Elec,Main Converter,Aluminum Plates,O,,O,O,DAP,SEK,823752.35,9622.15,82375.24,915749.74,SWEDEN,Gothenburg,Khalifa port,GOT36800161,Maersk Herrera,Scan Global Logistics AB,C,6,,,1,,,,,,,,,,,,,,1,,,,3365,5.24,5.24,,2024-07-19,2024-07-19,2024-09-10,2024-09-10,2024-09-20,2024-09-11,2024-09-12,2024-09-12,47150,32216,33826,2024-10-16,2024-10-16,,2025-11-11,,,,,,,,,,,
235,HVDC-ADOPT-HE-0184,E01,PRL-CS-017-O2,2024-07-19,4572116646,Hitachi,Elec,Main Converter,Aluminum Plates,O,O,O,,DAP,SEK,818437.85,9622.15,81843.79,909903.79,SWEDEN,Gothenburg,Khalifa port,GOT36800161,Maersk Herrera,Scan Global Logistics AB,C,6,,,,,,,,,,,,,,,,,0,,,,3304,5.1,5.1,,2024-07-19,2024-07-19,2024-09-10,2024-09-10,2024-09-20,2024-09-11,2024-09-12,2024-09-12,47150,,,2024-10-16,2024-10-16,2025-06-17,,,,,,,,2025-06-13,,,,
236,HVDC-ADOPT-SIM-0017-A,E04-1,477QGP51786179,2024-06-25,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"Shuweihat 400 kV"" GIS & Accessories PS07",O,,,,CIF,USD,,,,1068016.27,GERMANY,Hamburg,Khalifa port,DXB00004050,Maersk Hamburg,Alpha Maritime,C,52,,,15,,,,,,1,2,,,,,,,18,,,,35096,249.57,249.57,,2024-08-13,2024-08-13,2024-09-16,2024-09-16,2024-09-20,2024-09-11,2024-09-11,2024-09-11,47150,344606,361835,2024-10-05,,,,,,,,,,,,,,
237,HVDC-ADOPT-SIM-0017-B,E04-1,477QGP51786180,2024-06-25,SCT-19LT-PRC-PO-004,Siemens,Elec,400kV and 132kV New Converter GIS,"Shuweihat 400 kV"" GIS & Accessories PS07",O,,,,CIF,USD,,,,808661.16,GERMANY,Hamburg,Khalifa port,DXB00004050,Maersk Hamburg,Alpha Maritime,C,27,,,,,,,,,,,,,,,,,0,,,,34623,352.51,352.51,,2024-08-13,2024-08-13,2024-09-16,2024-09-16,2024-09-20,2024-09-11,2024-09-11,2024-09-11,47150,,,2024-10-05,,,,,,,,,,,,,,
238,HVDC-ADOPT-ZEN-0001,,HVDC-ADOPT-ZEN-0001,2024-08-24,7772400288,Fluid Pumps,Mech,,Grooved Fittings,,,,,CIF,USD,,,,38677.48,India,Tuticorin,Khalifa port,SKFTUTAUH242180,SSL KRISHNA,Sky Shipping Line,C,13,1,,,,,,,,,,,,,,,,1,,,,8069.43,12.32,12.32,,2024-08-31,2024-08-31,2024-09-16,2024-09-16,2025-04-16,2024-09-27,2024-09-28,2024-09-28,47150,7103,7457,,,,,,,,,,,,,2024-10-02,,
239,HVDC-ADOPT-SEI-0006,E03,HVDC-ADOPT-SEI-0006,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Repair Joint (1st),,,,,CIF,JPY,94003600,380000,1128043.2,95511643.2,JAPAN,Kobe,Khalifa port,290-700-2407-101,UNI-PRUDENT,Deugro,C,20,2,,,,,,,,,,,,,,,,2,,,,15040,59.25,59.25,,2024-08-13,2024-08-13,2024-09-22,2024-09-22,2025-04-10,2024-09-30,2024-09-30,2024-09-30,47150,123053,129205,2025-11-20,,,,,,,,2024-10-11,,,,,,
240,HVDC-ADOPT-SEI-0012,E03,HVDC-ADOPT-SEI-0012,2024-08-13,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Armour Clamp,,,,,CIF,JPY,37321000,112000,447852,37880852,NETHERLANDS,Rotterdam,Khalifa port,290-700-2408-054,MSC Loreto,Deugro,C,8,1,,,,,,,,,,,,,,,,1,,,,1420,5.12,5.12,,2024-08-13,2024-08-13,2024-09-25,2024-09-25,2025-04-10,2024-09-30,2024-10-01,2024-10-01,47150,48615,51045,,,,,,,,,2024-10-08,,,,,,
241,HVDC-ADOPT-ZEN-0002,,HVDC-ADOPT-ZEN-0002,2024-09-09,7772400288,SCHRACK SECONET,Elec,,Parts of Aspiration System,,,,,CIP,EUR,,,,18080.59,Great Britain,Viena,Abu Dhabi Airport,176-95202892,Emirates,Emirates,A,3,,,,,,,,,,,,,,,,,0,,,,1444,8.18,8.18,,2024-09-23,2024-09-23,2024-09-25,2024-09-25,2025-04-16,2024-09-25,2024-09-25,2024-09-25,47150,4501,4726,,,,,,,,,,,,,2024-09-27,,
242,HVDC-ADOPT-PPL-0015,E02,HVDC-ADOPT-PPL-0015,2024-08-01,5000675246,Prysmian,Elec,320kV HVDC Cable System,Spare Subsea Cable and Reel,,,,,CIF,EUR,1060296.42,10400,14102.38,1084798.8,Italy,Salermo,Khalifa port,MEDUJ9882468,MSC Polina,,B,3,,,,,,,,,,,,,,,,,0,,,,110630,216.9,216.9,,2024-08-13,2024-08-13,2024-09-26,2024-09-26,2025-04-17,2024-09-26,2024-09-26,2024-09-26,47150,222866,234008,,,,,,,,,2024-10-04,,,,,,
243,HVDC-ADOPT-HE-0187,E01,PRL-DAS-013-O1,2024-08-27,4572116646,Hitachi,Elec,Main Converter,Air Blast Coolers & Handrails,,O,,,DAP,EUR,2550803.32,32190.77,255080.33,2838074.42,GERMANY,Bremerhaven,Khalifa port,GOT37000025,Morning Peace,Scan Global Logistics AB,B,12,,,,,,,,,,,,,,,,,0,,,,88213,642.56,642.56,,2024-08-27,2024-08-27,2024-10-03,2024-10-03,2025-04-17,2024-10-01,2024-10-03,2024-10-03,47150,0,575847,,,2025-05-10,,,2024-10-08,,,,,,,,,
244,HVDC-ADOPT-HE-0185,E01,PRL-SHU-008-O1,2024-08-27,4572116646,Hitachi,Elec,Main Converter,Air Blast Coolers & Handrails,O,,,,DAP,EUR,2092696.88,65626.3,209269.69,2367592.87,GERMANY,Bremerhaven,Khalifa port,GOT37000023,Morning Peace,Scan Global Logistics AB,B,7,,,,,,,,,,,,,,,,,0,,,,68665,505.33,505.33,,2024-08-27,2024-08-27,2024-10-03,2024-10-03,2025-04-16,2024-10-01,2024-10-03,2024-10-03,47150,0,480386,2024-10-06,,,,,,,,,,,,,,
245,HVDC-ADOPT-SCT-0016,E08,HVDC-ADOPT-SCT-0016,2024-08-30,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (6th),,,O,O,FOB,USD,357177.36,22400,4286.13,383863.49,KOREA,Busan Port,Khalifa port,290-700-2408-124,HMM HANUL,Deugro,C,80,,,14,,,,,,,,,,,,,,14,,,,195066,623.03,623.03,,2024-08-30,2024-08-30,2024-10-04,2024-10-04,,2024-10-03,2024-10-04,2024-10-04,47150,70487,74011,,2024-11-04,2025-06-30,2025-05-21,,2024-10-06,,,,,2025-01-15,,,,
246,HVDC-ADOPT-HE-0188,E01,PRL-MIR-014-O1,2024-08-18,4572116646,Hitachi,Elec,Main Converter,"Structure, Shaft, Support, Insulator",,,O,,DAP,EUR,155716.6,6437.33,15571.66,177725.59,Italy,Venezia,Khalifa port,GOT36800170-001,MSC Ravenna,Scan Global Logistics AB,C,10,1,,2,,,,,,,,,,,,,,3,,,,10375,54.05,54.05,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-17,2024-10-08,2024-10-08,2024-10-08,47150,57336,60203,,2024-10-24,,,,,,,,,,,,,
247,HVDC-ADOPT-HE-0190,E01,PRL-MIR-014-O3,2024-08-18,4572116646,Hitachi,Elec,Main Converter,"Spare Singlepole, Shaft, Insulator",,,O,,DAP,EUR,93429.96,3862.4,9343,106635.36,Italy,Venezia,Khalifa port,GOT36800170-002,MSC Ravenna,Scan Global Logistics AB,C,6,,,,,,,,,,,,,,,,,0,,,,2415,13.62,13.62,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-16,2024-10-08,2024-10-08,2024-10-08,47150,,,,2024-10-24,,,,,,,,,,,,,
248,HVDC-ADOPT-HE-0191,E01,PRL-MIR-014-O4,2024-08-21,4572116646,Hitachi,Elec,Main Converter,Spare OP Mechanism,,,O,,DAP,EUR,31143.32,1287.46,3114.33,35545.11,Italy,Venezia,Khalifa port,GOT36800168-002,MSC Ravenna,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,410,2,2,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-16,2024-10-08,2024-10-08,2024-10-08,47150,317084,332938,,2025-10-20,,,2024-10-17,,,,,,,,,,
249,HVDC-ADOPT-HE-0193,E01,PRL-CS-018-O2,2024-08-21,4572116646,Hitachi,Elec,Main Converter,"Spare Insulator, Stacks, Shaft, Structure",,O,,O,DAP,EUR,395081.64,11632.35,39508.16,446222.15,Italy,Venezia,Khalifa port,GOT36800168-002,MSC Ravenna,Scan Global Logistics AB,C,35,,,5,,,,,,,,,,,,,,5,,,,9628,48.69,48.69,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-16,2024-10-08,2024-10-08,2024-10-08,47150,,,,,2025-05-29,,2024-10-12,2024-10-12,,,,,2025-05-20,,,,
250,HVDC-ADOPT-HE-0197,E01,PRL-SHU-022-O3,2024-08-21,4572116646,Hitachi,Elec,Main Converter,Spare OP Mechanism,O,,,,DAP,EUR,111052.53,2985.98,11105.25,125143.76,Italy,Venezia,Khalifa port,GOT36800168-002,MSC Ravenna,Scan Global Logistics AB,C,9,,,,,,,,,,,,,,,,,0,,,,1364,6.24,6.24,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-16,2024-10-08,2024-10-08,2024-10-08,47150,,,2025-08-12,,,,2024-10-12,,,,,,,,,,
251,HVDC-ADOPT-HE-0189,E01,PRL-MIR-014-O2,2024-08-21,4572116646,Hitachi,Elec,Main Converter,OP Mechanism for Singlepole,,,O,,DAP,EUR,31143.32,1287.32,3114.33,35544.97,Italy,Venezia,Khalifa port,GOT36800168-001,MSC Ravenna,Scan Global Logistics AB,C,2,,,,,,,,,,,,,,,,,0,,,,1374,6.76,6.76,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-17,2024-10-08,2024-10-08,2024-10-08,47150,,,,2025-10-21,,,2024-10-17,,,,,,,,,,
252,HVDC-ADOPT-HE-0192,E01,PRL-CS-018-O1,2024-08-21,4572116646,Hitachi,Elec,Main Converter,"Insulator, Stacks, Shaft, Structure",,O,,O,DAP,EUR,687801.32,20605.89,68780.13,777187.34,Italy,Venezia,Khalifa port,GOT36800168-001,MSC Ravenna,Scan Global Logistics AB,C,62,,,5,,,,,,,,,,,,,,5,,,,44425,225.66,225.66,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-17,2024-10-08,2024-10-08,2024-10-08,47150,,,,,2025-05-29,2025-11-13,2024-10-12,2024-10-12,,,,,2025-11-04,,,,
253,HVDC-ADOPT-HE-0195,E01,PRL-SHU-22-O2,2024-08-21,4572116646,Hitachi,Elec,Main Converter,OP Mechanism for Singlepole,O,,,,DAP,EUR,135730.87,3649.52,13573.09,152953.48,Italy,Venezia,Khalifa port,GOT36800168-001,MSC Ravenna,Scan Global Logistics AB,C,11,,,,,,,,,,,,,,,,,0,,,,4411,23.13,23.13,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-17,2024-10-08,2024-10-08,2024-10-08,47150,,,2025-04-03,,,,2024-10-12,,,,,,,,,,
254,HVDC-ADOPT-HE-0194,E01,PRL-SHU-022-O1,2024-08-21,4572116646,Hitachi,Elec,Main Converter,"Insulator, Stacks, Shaft, Structure, Support, Single DSC",O,,,,DAP,EUR,493566.8,13271.03,49356.68,556194.51,Italy,Venezia,Khalifa port,GOT36800171-001,MSC Ravenna,Scan Global Logistics AB,C,40,,,5,,,,,,,,,,,,,,5,,,,28240,144.46,144.46,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-16,2024-10-08,2024-10-08,2024-10-08,47150,159808,167798,2024-10-17,,,,,,,,,,,,,,
255,HVDC-ADOPT-HE-0196,E01,PRL-SHU-022-O3 Spare,2024-08-21,4572116646,Hitachi,Elec,Main Converter,"SPARE SINGLEPOLE, SHAFT, INSULATOR",O,,,,DAP,EUR,209765.89,5640.18,20976.59,236382.66,Italy,Venezia,Khalifa port,GOT36800171-002,MSC Ravenna,Scan Global Logistics AB,C,17,,,,,,,,,,,,,,,,,0,,,,5280,26.73,26.73,,2024-08-21,2024-08-21,2024-10-08,2024-10-08,2025-04-17,2024-10-08,2024-10-08,2024-10-08,47150,,,2024-10-19,,,,,,,,,,,,,,
